season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,goals_conceded,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,goals_conceded_roll1,goals_conceded_roll3,goals_conceded_roll5,goals_conceded_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,6,572,Arsenal,17,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.1,0.0
2021-22,7,1,Arsenal,4,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,0.0,0.0,7.4,8.0,0.0,0.0,13.440000000000001,13.166666666666666,0.0,0.0,1.4,1.5,0.0,0.0,0.0,0.3333333333333333,0.2,0.1,0.0
2021-22,7,2,Arsenal,4,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.1,0.0
2021-22,7,532,Arsenal,4,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0
2021-22,7,559,Arsenal,4,1.0,90,0,0,26,15.0,0,1.5,3.0,3.0,1,3.0,6.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,54.0,54.0,13.0,22.666666666666668,13.6,13.6,19.8,18.400000000000002,11.040000000000001,11.040000000000001,1.0,0.3333333333333333,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.1,6.0
2021-22,7,572,Arsenal,4,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2021-22,8,1,Arsenal,7,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.2,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,38.57142857142857,0.0,0.0,4.0,6.857142857142857,0.0,0.0,8.6,11.285714285714286,0.0,0.0,1.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2021-22,8,2,Arsenal,7,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2021-22,8,532,Arsenal,7,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2021-22,8,559,Arsenal,7,1.0,90,0,0,16,18.6,2,1.9,3.0,3.0,1,6.0,6.0,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,72.0,60.0,26.0,23.666666666666668,18.8,15.666666666666666,15.0,20.400000000000002,14.040000000000001,11.700000000000001,0.0,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1,2.0
