goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,1,,,48,0,18,0,,0.0,0.0,,0,Mbwana Ally Samatta,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,1.2,0,1,6,1,,,134,0,7,90,,12.8,26.0,,2,Timo Werner,4.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,0.0,0,0,0,1,,,523,0,9,0,,0.0,0.0,,0,Patrick Cutrone,0.0,3.0,3.0,1
0,2021-22,4.0,0,Spurs,0.0,0,0,0,1,,,357,0,12,0,,0.0,0.0,,0,Harry Kane,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,2.0,1,0,3,1,,,380,0,2,11,,0.3,0.0,,1,Troy Deeney,0.2,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,404,0,2,0,,0.0,0.0,,0,João Pedro Junqueira de Jesus,0.0,3.0,3.0,1
1,2021-22,4.0,0,Brighton,34.0,1,0,20,1,,,63,0,5,90,,6.5,74.0,,5,Neal Maupay,11.5,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,1,,,447,0,5,0,,0.0,0.0,,0,Danny Welbeck,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,1,,,72,0,5,0,,0.0,0.0,,0,Aaron Connolly,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,1,,,535,0,5,0,,0.0,0.0,,0,Andi Zeqiri,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,0.0,0,0,3,1,,,445,0,9,1,,0.0,0.0,,1,Fabio Silva,0.0,3.0,3.0,1
1,2021-22,4.0,2,West Ham,55.6,2,0,40,1,,,413,3,14,90,,18.7,55.0,,13,Michail Antonio,12.9,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,1,,,47,0,18,0,,0.0,0.0,,0,Wesley Moraes,0.0,3.0,3.0,1
1,2021-22,4.0,0,Watford,36.2,2,0,28,1,,,472,1,2,24,,0.3,26.0,,6,Juan Camilo Hernández Suárez,6.3,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,1,,,344,0,8,0,,0.0,0.0,,0,Daniel N'Lundulu,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brentford,0.0,0,0,0,1,,,95,0,1,0,,0.0,0.0,,0,Halil Dervişoğlu,0.0,3.0,3.0,1
0,2021-22,4.0,0,Norwich,0.0,0,0,0,1,,,322,0,11,0,,0.0,0.0,,0,Jordan Hugill,0.0,3.0,3.0,1
0,2021-22,4.0,0,Everton,0.0,0,0,0,1,,,545,0,16,0,,0.0,0.0,,0,Nathan Broadhead,0.0,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,2,,,49,0,14,0,,0.0,0.0,,0,Keinan Davis,0.0,3.0,3.0,1
0,2021-22,4.0,0,Everton,0.0,0,0,2,2,,,564,0,10,1,,0.0,0.0,,1,Moise Kean,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,8.6,0,0,6,2,,,468,0,4,25,,37.6,2.0,,1,Joshua King,4.8,3.0,3.0,1
0,2021-22,4.0,0,Everton,4.8,2,0,2,2,,,180,0,10,90,,31.6,43.0,,2,Richarlison de Andrade,7.9,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,2,,,518,0,13,0,,0.0,0.0,,0,Armando Broja,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,388,0,4,0,,0.0,0.0,,0,Stipe Perica,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,393,0,4,0,,0.0,0.0,,0,Isaac Success Ajayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,0,0,0,2,,,542,0,3,0,,0.0,0.0,,0,Robert Street,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,2,,,136,0,1,0,,0.0,0.0,,0,Tammy Abraham,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,4.0,1,0,-2,2,,,430,0,17,90,,47.8,86.0,,1,Raúl Jiménez,13.8,3.0,3.0,1
0,2021-22,4.0,0,Watford,11.6,2,0,6,2,,,450,0,4,90,,16.1,22.0,,2,Emmanuel Dennis,5.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,2,,,20,0,6,0,,0.0,0.0,,0,Edward Nketiah,0.0,3.0,3.0,1
0,2021-22,4.0,1,Southampton,3.6,1,0,13,2,,,345,0,13,90,,25.6,12.0,,5,Che Adams,4.1,3.0,3.0,1
0,2021-22,4.0,0,Liverpool,0.0,0,0,0,2,,,235,0,5,0,,0.0,0.0,,0,Divock Origi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,383,0,4,0,,0.0,0.0,,0,Andre Gray,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,0,0,0,2,,,159,0,3,0,,0.0,0.0,,0,Jean-Philippe Mateta,0.0,3.0,3.0,1
0,2021-22,4.0,0,Spurs,0.0,0,0,0,2,,,520,0,20,0,,0.0,0.0,,0,Dane Scarlett,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,0,0,0,2,,,550,0,8,0,,0.0,0.0,,0,Sam Greenwood,0.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,2,,,6,0,6,0,,0.0,0.0,,0,Alexandre Lacazette,0.0,3.0,3.0,1
0,2021-22,4.0,0,Burnley,0.0,0,0,0,2,,,111,0,11,0,,0.0,0.0,,0,Matej Vydra,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brentford,0.0,0,0,0,2,,,88,0,7,0,,0.0,0.0,,0,Marcus Forss,0.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,4.2,0,0,4,2,,,530,0,6,11,,3.3,2.0,,1,Folarin Balogun,1.0,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,0.0,0,0,0,2,,,300,0,2,0,,0.0,0.0,,0,Dwight Gayle,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,2,,,126,0,1,0,,0.0,0.0,,0,Michy Batshuayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Man Utd,0.0,1,0,-4,2,,,278,0,16,58,,1.6,40.0,,1,Anthony Martial,4.1,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,0,0,0,2,,,187,0,8,0,,0.0,0.0,,0,Rodrigo Moreno,0.0,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,0.0,2,0,-4,2,,,296,0,2,90,,10.7,15.0,,1,Callum Wilson,2.3,3.0,3.0,1
0,2021-22,4.0,0,Leicester,1.0,2,0,2,2,,,455,0,19,26,,0.0,0.0,,1,Patson Daka,0.1,3.0,3.0,1
1,2021-22,4.0,0,Aston Villa,32.4,0,1,32,2,,,337,2,14,90,,3.4,32.0,,8,Danny Ings,6.8,3.0,3.0,1
0,2021-22,4.0,2,Man City,38.4,0,1,39,2,,,263,3,15,90,,42.5,20.0,,11,Gabriel Fernando de Jesus,10.1,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,2,,,500,0,18,0,,0.0,0.0,,0,Florin Andone,0.0,3.0,3.0,1
1,2021-22,4.0,0,Everton,47.8,2,0,26,2,,,177,1,10,89,,25.4,74.0,,7,Dominic Calvert-Lewin,14.7,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,2,,,40,0,14,0,,0.0,0.0,,0,Ollie Watkins,0.0,3.0,3.0,1
0,2021-22,4.0,1,Leeds,19.6,2,0,17,2,,,189,0,8,90,,11.8,72.0,,4,Patrick Bamford,10.3,3.0,3.0,1
0,2021-22,4.0,0,Leicester,5.0,3,0,7,2,,,205,0,19,80,,0.8,0.0,,2,Jamie Vardy,0.6,3.0,3.0,1
0,2021-22,4.0,0,Southampton,5.4,1,0,0,2,,,525,0,13,90,,11.5,26.0,,2,Adam Armstrong,4.3,3.0,3.0,1
0,2021-22,4.0,0,Norwich,0.2,1,0,3,2,,,516,0,12,13,,0.3,2.0,,1,Joshua Sargent,0.3,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,5.0,0,0,5,2,,,4,0,6,29,,1.3,19.0,,1,Pierre-Emerick Aubameyang,2.5,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,2.8,2,0,3,2,,,307,0,2,90,,6.1,14.0,,2,Allan Saint-Maximin,2.3,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,5.0,0,0,3,2,,,310,0,2,12,,0.7,19.0,,1,Joelinton Cássio Apolinário de Lira,2.5,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,5.8,0,1,0,2,,,149,0,3,90,,14.0,8.0,,1,Christian Benteke,2.8,3.0,3.0,1
0,2021-22,4.0,0,Burnley,3.2,0,0,7,2,,,104,0,11,15,,11.0,18.0,,1,Jay Rodriguez,3.2,3.0,3.0,1
0,2021-22,4.0,0,Burnley,3.8,2,0,3,2,,,109,0,11,74,,0.8,35.0,,2,Chris Wood,4.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.4,0,0,1,2,,,153,0,3,22,,0.7,4.0,,1,Jordan Ayew,0.5,3.0,3.0,1
0,2021-22,4.0,0,Liverpool,5.2,0,0,3,2,,,228,0,5,9,,10.7,9.0,,1,Roberto Firmino,2.5,3.0,3.0,1
0,2021-22,4.0,0,Norwich,2.2,4,0,5,2,,,315,0,12,76,,0.3,0.0,,2,Teemu Pukki,0.3,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,469,0,4,0,,0.0,0.0,,0,Adedapo Awokoya-Mebude,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leicester,0.0,1,0,2,2,,,213,0,19,9,,0.3,0.0,,1,Kelechi Iheanacho,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,395,0,4,0,,0.0,0.0,,0,Ashley Fletcher,0.0,3.0,3.0,1
0,2021-22,4.0,0,Burnley,0.0,0,0,0,2,,,533,0,11,0,,0.0,0.0,,0,Lewis Richardson,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brentford,4.2,0,1,5,2,,,78,0,7,90,,1.4,66.0,,2,Ivan Toney,7.2,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,2,,,120,0,1,0,,0.0,0.0,,0,Olivier Giroud,0.0,3.0,3.0,1
0,2021-22,4.0,0,Man Utd,0.0,0,0,0,2,,,269,0,16,0,,0.0,0.0,,0,Edinson Cavani,0.0,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,2,,,348,0,13,0,,0.0,0.0,,0,Michael Obafemi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Burnley,18.0,2,0,5,2,,,105,0,11,90,,33.6,21.0,,2,Ashley Barnes,7.3,3.0,3.0,1
1,2021-22,4.0,0,Chelsea,45.2,0,1,33,2,,,529,2,1,90,,33.4,128.0,,8,Romelu Lukaku,20.7,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,2,,,519,0,13,0,,0.0,0.0,,0,Shane Long,0.0,3.0,3.0,1
0,2021-22,4.0,0,Norwich,0.0,0,0,0,2,,,329,0,12,0,,0.0,0.0,,0,Adam Idah,0.0,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,2,,,48,0,14,0,,0.0,0.0,,0,Mbwana Ally Samatta,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,2,2,,,134,0,1,1,,0.0,0.0,,1,Timo Werner,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,0.0,0,0,0,2,,,523,0,17,0,,0.0,0.0,,0,Patrick Cutrone,0.0,3.0,3.0,1
0,2021-22,4.0,0,Spurs,4.4,0,0,-3,2,,,357,0,20,18,,12.0,17.0,,0,Harry Kane,3.3,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.2,0,0,2,2,,,380,0,4,12,,10.3,14.0,,1,Troy Deeney,2.5,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,2,,,404,0,4,0,,0.0,0.0,,0,João Pedro Junqueira de Jesus,0.0,3.0,3.0,1
1,2021-22,4.0,0,Brighton,34.0,0,0,28,2,,,63,1,18,45,,13.8,19.0,,6,Neal Maupay,6.7,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,2,,,447,0,18,0,,0.0,0.0,,0,Danny Welbeck,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,-2,2,,,72,0,18,45,,1.1,6.0,,1,Aaron Connolly,0.5,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,2,,,535,0,18,0,,0.0,0.0,,0,Andi Zeqiri,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,3.0,0,0,3,2,,,445,0,17,6,,0.0,17.0,,1,Fabio Silva,2.0,3.0,3.0,1
2,2021-22,4.0,1,West Ham,93.0,1,0,67,2,,,413,3,9,88,,26.1,87.0,,16,Michail Antonio,20.6,3.0,3.0,1
