season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,creativity,threat,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,creativity_roll1,creativity_roll3,creativity_roll5,creativity_roll10,threat_roll1,threat_roll3,threat_roll5,threat_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,6,20,Arsenal,17,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.2,0.3333333333333333,0.2,0.1,0.0
2021-22,6,530,Arsenal,17,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.8,0.0,0.0,0.4,0.4,0.0,0.0,0.8400000000000001,0.8400000000000001,0.0,0.0,0.74,0.74,0.0,0.0,3.4,3.4,0.3333333333333333,0.2,0.1,0.3333333333333333,0.2,0.1,0.0
2021-22,7,4,Arsenal,4,4.0,71,0,0,5,0.0,2.8,38.0,4.0,3.0,3.0,1,7.0,6.0,4.0,3.3333333333333335,1.0,0.6666666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,90.0,90.0,71.4,59.5,28.0,21.333333333333332,13.8,11.5,38.8,27.266666666666666,17.36,14.466666666666667,3.3,21.066666666666666,13.180000000000001,10.983333333333334,75.0,65.33333333333333,43.0,35.833333333333336,0.0,0.2,0.1,0.0,0.2,0.1,2.0
2021-22,7,6,Arsenal,4,4.0,18,0,0,3,0.8,2.4,0.0,0.3,3.0,3.0,1,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,5.166666666666667,0.0,0.0,-0.2,-0.16666666666666666,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.06,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.1,1.0
2021-22,7,20,Arsenal,4,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
2021-22,7,530,Arsenal,4,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.5,0.0,0.0,0.8,0.3333333333333333,0.0,0.0,0.8400000000000001,0.7000000000000001,0.0,0.0,0.6599999999999999,0.6166666666666666,0.0,0.0,0.4,2.8333333333333335,0.0,0.0,0.1,0.0,0.0,0.1,0.0
2021-22,8,4,Arsenal,7,4.0,90,1,0,33,40.0,15.8,35.0,9.1,3.0,3.0,1,2.0,3.6666666666666665,4.2,3.142857142857143,0.0,0.3333333333333333,0.4,0.2857142857142857,0.0,0.0,0.0,0.0,71.0,83.66666666666667,79.8,61.142857142857146,5.0,13.0,13.8,10.571428571428571,0.0,15.333333333333334,16.36,12.4,2.8,14.5,13.48,9.814285714285715,38.0,43.666666666666664,46.8,36.142857142857146,0.0,0.0,0.1,0.0,0.0,0.1,9.0
2021-22,8,6,Arsenal,7,4.0,23,1,0,28,42.0,26.8,62.0,13.1,3.0,3.0,1,1.0,0.3333333333333333,0.4,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,9.8,7.0,3.0,1.0,0.4,0.2857142857142857,0.8,0.26666666666666666,0.36,0.2571428571428572,2.4,0.7999999999999999,0.5399999999999999,0.3857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.2,0.6666666666666666,0.4,0.3,5.0
2021-22,8,20,Arsenal,7,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.3,1.0,0.6,0.4,0.0
2021-22,8,530,Arsenal,7,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.5285714285714286,0.0,0.0,0.0,2.4285714285714284,0.6666666666666666,0.4,0.2,1.0,0.6,0.3,0.0
2021-22,9,4,Arsenal,2,4.0,90,1,1,27,56.0,24.6,68.0,14.9,3.0,3.0,1,9.0,6.0,5.8,3.875,1.0,0.6666666666666666,0.6,0.375,0.0,0.0,0.0,0.0,90.0,83.66666666666667,86.2,64.75,33.0,22.0,20.4,13.375,40.0,26.266666666666666,24.36,15.85,15.8,7.3,16.36,10.5625,35.0,49.333333333333336,53.8,36.0,0.3333333333333333,0.4,0.2,0.3333333333333333,0.6,0.3,6.0
2021-22,9,6,Arsenal,2,4.0,67,0,0,6,4.8,28.4,10.0,4.3,3.0,3.0,1,5.0,2.0,1.2,0.875,1.0,0.3333333333333333,0.2,0.125,0.0,0.0,0.0,0.0,23.0,13.666666666666666,8.2,9.0,28.0,10.333333333333334,6.2,3.75,42.0,14.266666666666666,8.559999999999999,5.475,26.8,9.733333333333333,5.84,3.6875,62.0,20.666666666666668,12.4,7.75,0.3333333333333333,0.6,0.3,0.3333333333333333,0.8,0.4,2.0
